implementation,threads,time
serial,1,0.009983
serial,1,0.009388
serial,1,0.009696
serial,1,0.009590
serial,1,0.009300
serial,2,0.010247
serial,2,0.009980
serial,2,0.010320
serial,2,0.009597
serial,2,0.009950
serial,4,0.009099
serial,4,0.009411
serial,4,0.009834
serial,4,0.009984
serial,4,0.009313
serial,8,0.009116
serial,8,0.010187
serial,8,0.010241
serial,8,0.010540
serial,8,0.009924
mutex,1,0.010404
mutex,1,0.011062
mutex,1,0.010219
mutex,1,0.011745
mutex,1,0.010898
mutex,2,0.036422
mutex,2,0.034783
mutex,2,0.038241
mutex,2,0.025037
mutex,2,0.027690
mutex,4,0.030669
mutex,4,0.030943
mutex,4,0.029802
mutex,4,0.030938
mutex,4,0.029478
mutex,8,0.033990
mutex,8,0.035587
mutex,8,0.035387
mutex,8,0.034750
mutex,8,0.032574
rwlock,1,0.009770
rwlock,1,0.010878
rwlock,1,0.011054
rwlock,1,0.011905
rwlock,1,0.010865
rwlock,2,0.014115
rwlock,2,0.012779
rwlock,2,0.013162
rwlock,2,0.011979
rwlock,2,0.013727
rwlock,4,0.015018
rwlock,4,0.013585
rwlock,4,0.017418
rwlock,4,0.016725
rwlock,4,0.019112
rwlock,8,0.019587
rwlock,8,0.018709
rwlock,8,0.017711
rwlock,8,0.020047
rwlock,8,0.020304
